file,tokens,label
datasets/email/ham/lokay-m/articles/263,[117 115 541 ... 262   1  49],0
datasets/email/ham/lokay-m/kim_s_files/6,[ 556 1195 1877   61 1091  557    2  566    1  567    1  605    1   49],0
datasets/email/ham/lokay-m/kim_s_files/2,[ 556 2559 1697 4078  557    2  566    1  567    1  605    1   49],0
datasets/email/ham/lokay-m/kim_s_files/3,[ 556 1195 1744    8 1357  557    2  566    1  567    1  605    1   49],0
datasets/email/ham/lokay-m/articles/14,[ 71 224 191 ... 262   1  49],0
datasets/email/spam/SH/HP/prodmsg.2.436682.200571,"[ 600  976   37  178  850  819 2884 1966   97  799 1904 1574 1844   30
 1428   13  107  343  799  234  747    1  273    1 2997    1  100  984
 4795 3509 3545   16   13   29 2711 1973    1 3352    1 3142    1  100
 3525 3471  197  904 1278 1308   16   13   29 3544  981   97  799 4816
 1575 4562 4053 1428   13  107 1320  120 3602  120  981   97 1574  805
  640  991 4055 1905  149 4740   29 2905  120 3603  120  981   97 2904
 2867  143  640  799 1575 1905   13   29 2903 3959 1904 3543  148 1522
  248 1394 2965 4470 2605   16   13  107  343 3542   30  984  234   36
    1  273    1 2998    1  100 1206 2797 1996   16   13 2496   16  189
  177  177  120 3601  148  395 1824 1563 4441    2 2376  148  395 1824
 3441    8  758    2  273    2   98 1494  104    2 3278   90 3639 2598
 4051  129   39   98  394  629    4   30 4391    2 3251    7 1747  481
 2641  703 1130  200    1 1307  114  435  395 1168 2212  985 1616  322
   15    3 1162 4201    6  185   30  809    1  113 4637    2  273   23
 1730    4 2647 4707  121  185   50 1883 4390  184    1   80 1883   53
   50 4523 4403 4757    4 1063  195  318   12 2743    2  113 1052    7
  895  162    1 1307  114  435  395 1168 2211    4    3  478  600    6
    3 4406    2   65   53 4279    4   30 4135  600   86  976 1582   61
    3 3428 3786  858    1  113  620   97 2796 4815 1948 3600 2751 1844
  643 2798   13  107   78 2607 2539  904 1278  113  384  148 2970 2226
  148 1522  248 2966  904 2346  197 4563 4602  151  119  198 1968 2090
    1  948    1 2323    1 2320    1 3589  350    4  600   86 2572  306
    1 2347 4465  267 2968 1845 3975 2385 4011   47   16  189  435  395
 1168 2210  113  119  198   36    1  273    1 2990 2862    1 4123  148
 2967  119  998  620  434 2476   12    1 4848 2464 2587  273    1   49
 2379 2482   65   15 1886  273   44 2452    3  273 4618 3365   73 1823
  113  113  148 2971 1951 1955  113  326  348   95  706    4   11 3246
  465 1800    4   11  629 2839   57 2651    1   15 1366 4442    2 1613
    8    4   86  273  976    7 1418    3 3555  473  858    8    3 3431
    6   90 1126    1  113  113    4  703  394 3984    8   30 4132  727
 3651    6  247    2  600   86 1713 3562  113  113  113  113  273  394
 3599 4149   30 2972  382   47   16  189  435  395 4467 2953 4217    2
   98 1494 3036 2410  383  395  904   30 2329 2513 2071  273    1  206
 4311 4285    1  113 2503 2969  121 3389   30 4092 3656  177  177   47
   16  189   47   16  189  177 1961  273 2488    1  190]",1
datasets/email/spam/SH/HP/prodmsg.2.434406.2005628,"[4253 2868    1 1732 1353    4 3120 4585   44 3490 2462 1397 2735 2799
    7   23 1785   15 3322   44 2407  178  850  819 2887  114  314  286
 2752 3767 4667 3820 3816 2508   97  805  640 1907 1399  120 2608  119
 1845  471  198  337    1  446    1  360   41 2321 2510 2416  722  630
    6  195  199  821 1194   44  113   65    5 1891 1550 3982    4 3791
 3332    3 3147    6 1870    4 2575    3  709  892   39 2800   33   65
  179  558 4351   39 1397   55 3595   44   28   22 2348 2538  260   13
   29 2982  198  337    1  446    1  360   41  618  626  723 3540  632
  234   36    1  739    1 3012    1  100 4814  385 1400   13 1324  198
  337    1  446    1  360   41  618  626  723 1562  632  234   36    1
  739    1 3013    1  667 1906  208 1329  198  337    1  446    1  360
   41  618  626  723 1562  632  234   36    1  739    1 3014    1  100
 4812  385 1400   13 1324  198  337    1  446    1  360   41  618  626
  723 1561  632  234   36    1  739    1 3015    1  100 1906  208 1329
  198  337    1  446    1  360   41  618  626  723 1561  632  234   36
    1  739    1 3016    1  100 4811  208 2509 2495  434   97 3547  805
  640 1907 2795  260   13   29 2609 3546  267    2   17    2 4356  385
 4464 1882   55  398  796 1807 1667    2  326 2412  198  337    1  446
    1  360   41 2322 3561  796 1807    1 2035 4134 3122    1 3135  808
    1  445    1   30  385 2341 2457 2964 2461 4813  395    2   18    2
   17    2   21 1823  119  198  337    1 2996    1  360   41 2218  234
 1970    1 3027 1984    1  100  998  343  234  337    1 2995    1  360
   41 2217 1206 3541 2529 3796 1963 3910   74 3865 2470    1  190]",1
datasets/email/spam/SH/HP/prodmsg.2.447266.2005719,"[3154   65  354  176   41  381   44  829  247  362  746  247  187    1
  143  917  776  178  850  819 2886  178 1445  168    1  166    1 2207
    1 2034 1647 1323  314  286  995  205  655  177  286  995  205 3373
    4  354  351    4  710  233 2269   14   86 4128   30  163  151 3402
 2399   41  382  205  655  177  205 3368   30  198   36    1 4865    1
 1558    1 1437 1978   30  163  151 3356 2402    1 1558    1 1436    9
   30 4577    7 1732 4774  163  151 3483 2390   30    4 4366  163  151
 4292  384   86   30 3797    1  382  205  655  177 1320   97  805  640
 1399  149 1889   29  894  267  592  163   30  151 2662 2401  972   29
  894  267  592  163   30  151 3807 2389  972   29  894  267  592  163
   30  151 3272 1311  972   29  894  267 4471  163   30  151 3263 2400
 2494  149 1889  625  267  592  163  151   30 4187 2395  625  267 4472
  163  151   30 3966 2388  197  163  151 2699   30 2391  625  267  592
  163  151   30 3664 2394 4736  163  151 2902   30 1311  625  267  592
  163  151 4722   30 2396  625  267 4469 2639 3810  271    1 2371  205
  655  177  205 3369  197  163  151 3743   30 2398    1  382  205 3371
  163  151 3445   30  384 4209    1  382  205 3374 4426  163  151   30
 3692 2397    1  382  205 3372 3055  163  151 4096   30 2393    1  382
  205 3367    1 1990 4363  163  151   30 4087 2392  318    1  382  205
  655  177  205 3370 2558  163  151 4652   30  384 3963  245   44 2367
 1959    1 2263 4853 2772 2445    1  190]",1
datasets/email/ham/lokay-m/articles/49,"[ 274 2831  547 2901 1211    6   96   91  547 2882   43  115 1107  593
   75  547 1531   12 3898 1601  250  281   39    3   75  362  734  817
 1797 3269 1152   55  192  331   43  108   14  153  139   48 1736  363
   53  992    1    3  104  730    3  822   33  593   75  223   28  916
    2 1378   22  108    8    3  250  468   62 4313   74 1220    1 2255
 4145  261    6  115 1107    2    8 1128    3 1211  683    6    3  115
    6   96  599   91  443    3  305 1381    7    3   75  223    1 2553
   23  907    7 3038 3323   33    3 1382 1474   79  145    7 1448    4
   57 3500 3214   74  115   48 2564    2 2951    7 2589 4398 3156    6
 1679   43 1848    7 3853    2  547  730    3  822    1    3  104 1122
    3  822  315   79 1531   12  712  155 1439   39  834 1764   11  854
    7   23 1797   12 4243    6  642 2621 2952  820  153   77 3077   62
 4111 1679  269   43 1848    7  185 2591    4 1483   58 2688   75  223
   43  108   74 4850 1211   91    1   77 1659    3 1439 3065  831   33
    3 2653 1107    6    3 1382 1474   79  315 3146   75   43    7  653
 1200   74 1939  573 2649  328    3  792    6 1250    1  547 4395   98
 3343 1675 2704   77    4  492    3 1709   43  111    6 1222    1 2257
    2  153  165 2665    4 4372    5   52 1373  258 1376  821 1710    2
    4 2832  139 4101 4018    4 1742   48  584   15    3  468    6 1666
    7 1045  468 1064  322    1   77 1507 1165 1391  223  108  254  635
 1946    1  138  277  108  927 1885    8  547    5   52 1165 1376 1028
 1710    2  139 4678 3439 1130    4  642 1085   48  584   66   57 1944
  573   31  202    3  468 1136    2    3  104  730    3  822    1  199
 3844 1515    4 4242    3  851    8  277 1130  138   77   23 3755 3189
   74   11  817   69    8  387 1541   33    3  916  223 3637   53 4718
   61   11  147    1  935  204  212    1  262    1   49]",0
datasets/email/spam/SH/HP/prodmsg.2.434616.2005628,[4776  684  645 ... 2484    1  869],1
